location,badger,bat,bird,bobcat,cat,cow,coyote,deer,dog,fox,insect,lizard,mountain_lion,opossum,pig,rabbit,raccoon,rodent,skunk,squirrel
121,0,0,65,0,0,0,9,89,0,8,0,3,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,44,0,22,0,0,6,0,0,3,0,0,0,0
123,0,0,48,0,0,0,0,0,0,9,0,10,0,0,0,38,0,299,0,0
124,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
125,0,0,7,826,71,0,47,0,88,0,0,0,0,424,0,68,140,0,57,0
126,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,308,0,15,0,0
127,0,0,12,0,0,0,0,0,6,42,0,0,0,0,0,0,0,3,0,6
128,0,0,18,56,0,0,21,19,0,40,0,0,0,0,0,0,6,0,0,0
129,0,0,34,3,0,0,69,0,0,53,0,0,0,0,0,129,0,3,2,0
13,0,3,101,15,0,0,0,0,0,12,3,3,6,0,0,296,0,9,9,6
130,0,0,18,467,9,0,254,0,0,0,0,0,0,82,0,12,447,5,54,36
131,0,0,85,0,0,0,0,82,0,57,0,0,0,0,0,153,0,0,3,0
132,0,0,0,1,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,3,0,0,0,40,6,0,0,0,0,0,0,0,6,0,20,0,0
134,0,0,87,0,0,0,8,297,0,88,0,0,0,0,0,0,12,12,9,0
135,0,0,136,0,0,0,20,88,0,107,0,0,0,0,0,180,0,8,22,0
136,0,0,916,0,0,0,0,0,0,47,0,3,6,0,0,63,0,572,0,0
137,0,0,369,0,0,0,44,6,0,24,0,0,0,0,0,119,0,9,12,0
138,0,0,21,23,0,0,9,19,0,0,0,17,0,0,0,5,0,17,0,0
139,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
14,0,0,38,44,0,0,0,0,0,75,0,13,0,0,0,389,0,39,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
16,0,0,3,17,0,0,3,0,0,38,0,0,0,0,0,6,0,0,0,0
17,0,0,2,2,0,0,36,0,3,0,0,0,0,0,0,3,0,0,0,0
18,0,0,0,21,0,0,36,0,125,0,0,0,0,33,0,0,271,0,0,3
19,0,0,159,8,0,0,6,0,0,9,0,3,0,0,0,0,0,46,33,0
2,0,0,12,15,0,0,69,103,0,0,0,0,0,0,0,3,0,0,24,0
20,0,0,141,0,0,0,0,0,15,12,0,3,0,0,0,0,0,11,6,0
21,0,0,9,3,0,0,11,11,0,12,0,0,0,0,0,0,0,0,0,0
22,0,0,117,0,0,0,57,0,0,9,0,0,0,0,0,62,0,0,0,0
23,0,0,173,62,0,0,899,423,2,0,0,0,0,0,2,416,43,37,38,1
24,0,0,6,49,138,0,66,0,9,0,0,0,0,71,0,2,99,0,0,110
25,0,0,33,0,0,0,0,110,0,6,0,0,0,0,0,0,0,0,0,0
26,0,0,3,44,0,0,104,183,0,0,0,0,0,0,0,211,0,0,21,112
27,0,0,9,0,0,0,29,1382,0,0,0,0,0,0,0,3,0,0,0,0
28,3,0,29,362,63,0,39,0,18,0,0,0,0,433,0,9,124,0,86,0
29,0,0,4,38,0,0,71,24,2,2,0,0,1,0,0,0,0,0,46,1
3,0,0,196,0,0,0,0,0,0,19,0,0,0,0,0,105,0,10,3,0
30,0,0,26,0,0,0,2,0,0,53,0,3,0,0,0,0,0,21,0,0
31,0,0,69,0,0,0,39,0,3,0,0,0,0,0,0,0,0,0,3,0
32,0,0,18,12,0,0,9,109,0,18,0,0,0,0,0,0,18,3,72,0
33,0,0,30,29,255,0,0,0,158,0,0,0,0,979,0,0,1201,628,6,404
34,0,0,9,96,0,0,0,1066,0,147,0,0,0,0,0,0,0,0,12,0
35,0,0,15,8,0,0,74,6,0,0,0,0,0,0,0,3,0,27,14,0
36,0,0,0,45,0,0,161,2,46,0,0,0,0,0,0,0,0,0,3,0
37,0,0,6,12,0,0,6,151,0,3,0,0,0,0,0,0,0,51,6,0
38,0,0,3,12,2328,0,48,0,392,0,0,0,0,4523,0,1406,196,0,6,766
39,0,0,69,32,0,0,0,0,0,41,0,0,0,0,0,65,0,12,6,0
4,0,0,12,0,0,0,23,107,0,45,0,0,0,0,0,0,0,0,3,0
40,0,0,0,5,91,0,18,0,54,0,0,0,0,314,0,5,478,3,9,29
41,3,0,4,25,0,0,185,1112,0,0,0,0,0,0,0,0,0,0,40,0
42,0,0,6,0,0,0,17,206,0,134,0,0,0,0,0,0,0,6,23,0
43,0,0,113,1108,3,0,834,0,191,0,0,0,0,768,0,75,430,2,87,10
44,0,0,3,0,0,0,82,440,0,0,0,0,0,0,0,18,0,0,41,0
45,3,0,59,0,0,0,0,0,0,21,0,0,0,0,0,15,0,0,0,0
46,3,0,100,960,21,0,896,0,28,0,0,0,0,1294,0,562,1405,44,112,12
47,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
48,0,0,54,0,0,0,27,33,0,3,0,0,0,0,0,0,0,3,12,0
49,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,68,50,0,0,17,0,0,0,0,0,0,34,0,50,3,0,0,0
50,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,6,5,0
51,0,0,9,263,0,0,144,0,24,0,0,0,0,236,0,246,12,48,0,180
52,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
53,0,0,92,0,0,0,0,42,0,16,0,0,0,0,0,0,3,267,3,5
54,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,0
55,0,0,0,0,0,0,0,37,0,184,0,0,9,0,0,0,0,22,3,0
56,0,0,159,0,0,0,43,9,0,110,0,0,0,0,0,0,0,10,60,0
57,0,0,37,271,0,0,616,2241,3,0,0,0,0,1,0,97,1017,0,42,9
58,0,0,0,35,0,0,0,0,23,0,0,18,0,210,0,39,234,9,3,64
59,0,0,60,15,0,0,0,55,0,13,0,0,0,0,0,80,0,17,0,0
6,0,0,54,3,0,0,0,551,0,60,0,3,0,0,0,12,0,241,21,0
60,0,0,5,80,6,0,0,0,0,0,0,134,0,40,0,0,18,10,0,68
61,6,0,871,57,0,0,174,148,0,0,0,0,0,0,0,1018,0,50,147,0
62,0,0,1,6,0,0,15,1,4,0,0,0,0,0,0,0,0,0,3,3
63,0,0,0,6,0,0,46,153,0,0,0,0,0,0,0,0,0,6,3,0
64,0,0,21,60,15,0,309,0,0,0,0,0,0,30,0,0,96,0,0,0
65,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
66,0,0,2,132,0,0,36,52,2,9,0,0,0,0,0,0,1,0,32,0
67,0,0,539,12,0,0,60,33,0,0,0,0,0,0,0,0,0,277,9,0
68,0,0,27,42,0,0,0,0,0,6,0,6,0,0,0,0,0,12,0,0
69,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,40,0,27,0,0
7,0,0,16,73,0,0,647,0,0,0,0,0,0,718,0,107,91,0,12,21
70,0,0,397,196,0,0,576,537,0,0,0,0,0,1,0,693,272,18,141,11
71,0,0,1,8,0,0,23,0,37,0,0,0,0,0,0,0,1,0,3,15
72,0,0,13,0,0,0,59,2,0,33,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
75,0,0,20,380,3,0,38,0,586,0,0,0,0,154,0,0,93,0,0,3
76,0,0,34,133,0,1533,1476,137,267,0,0,0,0,0,0,52,8,0,4,87
77,0,0,9,0,0,0,15,8,0,27,0,6,0,0,0,0,0,34,3,0
78,0,0,6,107,401,0,104,0,227,0,0,0,0,382,0,3,356,0,3,571
79,0,0,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0
8,0,0,6,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0
80,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,11
81,0,0,268,42,21,0,6,0,53,0,0,0,0,44,0,3,6,0,6,3
82,0,0,46,0,0,0,0,142,0,32,0,0,0,0,0,137,0,9,0,0
83,0,0,33,88,0,0,0,15,0,3,0,0,86,100,0,0,20,5,8,0
84,0,0,38,3,0,0,53,377,0,6,0,0,0,0,0,6,0,0,0,0
85,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
86,0,0,277,9,0,0,35,0,0,40,0,6,0,0,0,0,6,11,30,0
87,0,0,533,17,0,0,12,0,0,110,0,0,0,0,0,0,14,0,0,32
88,0,0,294,0,255,0,347,0,865,0,0,0,0,535,0,506,91,0,49,33
89,0,0,15,0,3,0,0,0,126,0,0,0,0,9,0,0,0,0,0,23
9,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,29,0,0
90,0,0,0,15,290,0,69,0,15,0,0,0,0,117,0,35,57,0,0,302
91,0,0,6,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
92,0,0,113,0,0,0,9,17,0,168,0,0,0,0,0,0,0,251,0,0
93,0,0,97,0,0,0,38,0,0,0,0,0,0,0,0,511,0,97,0,0
94,0,0,1119,85,0,0,3,0,0,100,0,0,0,0,0,112,0,9,6,0
95,0,0,0,68,258,0,0,0,0,0,0,9,0,845,0,0,89,27,0,205
96,0,0,33,75,0,0,7,69,0,13,0,0,0,1,0,634,38,197,5,6
97,0,0,63,3,0,0,0,6,0,6,0,0,0,0,0,0,0,3,5,0
98,0,0,0,79,186,0,0,0,65,0,0,0,0,536,0,0,35,0,17,0
99,0,0,35,6,0,0,42,32,0,23,0,0,0,0,0,0,0,0,0,0
